id,item_id,order_id,from_position_id,to_position_id,movement_type,quantity,status,worker_id,created_at,executed_at
5f8c18cd-9069-4102-a224-92fd12262018,f0b118d6-1342-4c43-839e-f87155ee6404,64058fad-4fcb-403b-9b7b-9f265b0edb38,ab83d4da-0238-4996-aa4f-1ec24e2b3663,null,DISPATCH,4,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-01 00:00:00+00,null
2caec20c-5246-43f9-b5f3-917c5b967ed5,218ac221-d79d-4377-bfaa-8b5209e1b9ba,0eac6af4-492b-4e28-a4dc-93180a147cfe,6181f5cf-720e-4ff2-8b76-63f3eee5cff3,null,DISPATCH,15,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-06 00:00:00+00,null
e25bb0c8-1836-48a1-a477-e57c08957b8b,b57ea25e-3624-42a0-8bf9-d49ff1a58235,39af7f67-c612-4c46-9d1f-972958ad0717,null,ee40ccd8-7804-4da3-a8e7-058e8d11b224,RECEPTION,40,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-06 00:00:00+00,null
72d5e6cc-e373-48f8-a91c-5807208ea021,703298b0-3e3a-497d-8400-d9331851aa16,8a50e4bf-fb99-49aa-8ff9-81b8b8d4db2c,null,de9a309a-5607-4da7-a970-72cb26951ef6,RECEPTION,30,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-04 00:00:00+00,null
5366835e-6a56-4e6e-bf8e-1579fafd556d,04deb6c9-5c4f-4456-a207-bfacf997b4ba,c11d1960-9f94-4377-b1c5-357a578fb522,null,18ed9aca-e3f8-42ae-bf3a-41f9c5790217,RECEPTION,35,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-08-31 00:00:00+00,null
6a316765-718c-4635-a315-cfbe091999f4,49ce1de5-64a6-4f6f-93fc-17ca3328f7bf,f9f1bb43-f5b5-4504-bfc0-1eb2aedf7838,f104f437-92c1-4989-bdfc-4e001b0c09be,null,DISPATCH,12,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-07 00:00:00+00,null
dea9b350-b644-4ed0-93a3-82d1752e9d91,0658ec1b-9bdb-4723-93d5-dc9b985b0861,e696df7d-8536-47ee-bb35-c90e49868cda,4e2aef90-07ad-445a-828f-d3a6ba7a5de0,null,DISPATCH,20,PENDING,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-08-26 00:00:00+00,null
79aac37b-e7b5-479e-ac9e-c94313b020b8,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,5d4608d6-77e4-4bc2-9dff-35d2dd7ab403,null,8d8bb484-2861-4b80-abba-125e6e23fa1e,RECEPTION,30,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-08 00:00:00+00,2026-09-13 23:53:42.468+00
82fb3ce3-d02d-4bb7-bcdf-ffabb64cbe78,422de90c-e618-4332-9ef7-041b3701e4f9,b909928b-4f8b-4a3d-bf06-1c42968b4263,null,null,RECEPTION,15,APPROVED,null,2026-09-14 17:24:59.118944+00,2026-09-14 17:25:38.72+00
95d77b5a-cab4-44d3-881f-393e5e6f3a36,422de90c-e618-4332-9ef7-041b3701e4f9,0e8095e1-e177-4530-823f-06104a9156e5,null,null,RECEPTION,5,APPROVED,null,2026-09-14 17:29:37.633241+00,2026-09-14 17:29:44.663+00
afa03d8f-e4ef-44ae-8f4c-874e1825b75f,422de90c-e618-4332-9ef7-041b3701e4f9,c88df9a3-2f86-4ad6-b240-2abbfa0664c1,null,null,DISPATCH,5,APPROVED,null,2026-09-14 17:31:29.344899+00,2026-09-14 17:31:33.776+00
7ead04a4-ea73-4a8f-96b9-88a2f91e9e51,422de90c-e618-4332-9ef7-041b3701e4f9,2c637107-ce79-4a05-b117-7dc38f6b7395,null,null,INTERNAL_TRANSFER,5,REJECTED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-14 17:43:07.769683+00,2026-09-14 17:45:04.953+00
b9b84067-fa24-4c24-9fba-9489b3b27e0b,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,182f9de3-f679-45da-a077-0a06befc5f4f,null,43265ceb-1057-47ab-a9f8-a7ccef4f2e62,RECEPTION,5,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-14 17:36:51.626632+00,2026-09-14 17:37:26.765+00
3be68319-a659-4199-b990-e47364da902b,422de90c-e618-4332-9ef7-041b3701e4f9,11fc3edf-dc03-4a60-88bb-22fd9904cad6,null,null,INTERNAL_TRANSFER,5,APPROVED,d9514958-e73a-40a8-8cb8-19e160ba7745,2026-09-14 17:45:33.916741+00,2026-09-14 17:50:33.413854+00
d8b20f0f-951a-4816-a9a6-82207747d41c,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,9e90e9bb-c5a7-4c52-bea1-dbfe5ebaa115,8d8bb484-2861-4b80-abba-125e6e23fa1e,null,INTERNAL_TRANSFER,5,APPROVED,044bbcf8-5fe4-4e3d-a9a5-290ff1d884a6,2026-09-14 17:51:26.179211+00,2026-09-14 17:51:33.718+00
2baff675-cc5c-4ec8-b4bc-15ae249bb837,39a52cd5-b80f-4c0e-8ca6-0a66aef68efe,d9c13faa-dac8-4393-afc0-99c5f1044797,null,8d8bb484-2861-4b80-abba-125e6e23fa1e,RECEPTION,15,APPROVED,906d1e15-eb55-4c01-bc14-6ab8467b0c5d,2026-09-14 17:52:22.529068+00,2026-09-14 17:52:26.712+00
769f6df4-a680-4fdf-9639-e589a1c2985e,422de90c-e618-4332-9ef7-041b3701e4f9,ea19cb98-bf04-4cd1-87bd-5269f4085e37,null,null,INTERNAL_TRANSFER,5,APPROVED,906d1e15-eb55-4c01-bc14-6ab8467b0c5d,2026-09-14 17:52:56.48226+00,2026-09-14 17:53:20.05+00
